iter	Passed	Remaining
0	165	165002
1	209	104757
2	268	89142
3	270	67357
4	272	54259
5	275	45586
6	277	39369
7	279	34637
8	281	30951
9	283	28042
10	285	25654
11	287	23649
12	289	21972
13	291	20564
14	294	19332
15	311	19186
16	317	18381
17	321	17515
18	324	16746
19	326	16016
20	332	15491
21	335	14894
22	336	14313
23	339	13806
24	341	13327
25	346	12963
26	355	12805
27	357	12406
28	363	12176
29	366	11854
30	370	11588
31	372	11280
32	378	11076
33	380	10806
34	384	10588
35	388	10403
36	402	10484
37	407	10309
38	409	10097
39	413	9927
40	415	9728
41	419	9561
42	420	9366
43	422	9179
44	424	8999
45	425	8827
46	427	8677
47	430	8528
48	434	8426
49	438	8332
50	440	8190
51	441	8053
52	452	8084
53	455	7974
54	457	7862
55	459	7749
56	468	7752
57	470	7649
58	482	7691
59	484	7588
60	485	7480
61	487	7377
62	489	7277
63	505	7387
64	508	7310
65	515	7288
66	517	7206
67	519	7125
68	522	7054
69	530	7045
70	532	6969
71	535	6898
72	537	6824
73	540	6760
74	544	6721
75	547	6656
76	552	6623
77	556	6576
78	559	6518
79	561	6460
80	566	6424
81	567	6357
82	568	6282
83	570	6219
84	571	6156
85	574	6101
86	576	6047
87	579	6009
88	605	6202
89	608	6148
90	610	6094
91	614	6066
92	617	6022
93	620	5979
94	622	5930
95	625	5885
96	630	5872
97	633	5827
98	634	5778
99	637	5738
100	642	5715
101	645	5679
102	647	5642
103	651	5609
104	653	5569
105	655	5526
106	658	5497
107	661	5459
108	665	5442
109	668	5406
110	676	5419
111	701	5561
112	703	5524
113	711	5532
114	713	5493
115	715	5455
116	717	5413
117	723	5405
118	728	5391
119	730	5359
120	733	5325
121	738	5311
122	740	5277
123	742	5246
124	765	5355
125	775	5381
126	778	5351
127	786	5358
128	790	5334
129	792	5306
130	800	5306
131	803	5283
132	805	5248
133	806	5213
134	823	5278
135	825	5246
136	830	5229
137	833	5206
138	835	5174
139	840	5161
140	848	5171
141	850	5138
142	854	5120
143	856	5093
144	858	5063
145	862	5044
146	896	5203
147	901	5187
148	910	5199
149	913	5177
150	918	5165
151	924	5159
152	927	5134
153	930	5110
154	933	5088
155	941	5091
156	978	5255
157	993	5292
158	997	5274
159	1005	5279
160	1008	5253
161	1013	5244
162	1021	5244
163	1026	5233
164	1037	5250
165	1040	5226
166	1042	5200
167	1055	5225
168	1059	5208
169	1067	5211
170	1069	5186
171	1074	5171
172	1080	5167
173	1083	5141
174	1085	5116
175	1087	5091
176	1090	5070
177	1095	5059
178	1097	5033
179	1147	5228
180	1149	5201
181	1151	5176
182	1153	5150
183	1155	5124
184	1162	5119
185	1164	5096
186	1168	5080
187	1175	5076
188	1177	5053
189	1183	5043
190	1184	5018
191	1187	4996
192	1251	5234
193	1257	5224
194	1262	5213
195	1265	5192
196	1268	5170
197	1274	5162
198	1279	5150
199	1288	5153
200	1292	5136
201	1295	5117
202	1362	5347
203	1364	5323
204	1370	5314
205	1385	5340
206	1387	5317
207	1392	5301
208	1394	5276
209	1396	5253
210	1402	5244
211	1405	5222
212	1409	5206
213	1411	5183
214	1470	5370
215	1473	5347
216	1475	5323
217	1480	5311
218	1483	5291
219	1486	5271
220	1491	5258
221	1497	5249
222	1500	5226
223	1502	5204
224	1504	5182
225	1567	5367
226	1569	5346
227	1572	5323
228	1578	5316
229	1580	5291
230	1582	5267
231	1584	5246
232	1586	5223
233	1589	5202
234	1593	5188
235	1596	5167
236	1598	5146
237	1600	5124
238	1603	5104
239	1674	5301
240	1676	5279
241	1678	5256
242	1680	5235
243	1682	5214
244	1690	5208
245	1694	5193
246	1696	5171
247	1698	5149
248	1701	5130
249	1703	5109
250	1707	5095
251	1802	5350
252	1804	5327
253	1806	5306
254	1809	5285
255	1811	5263
256	1817	5253
257	1819	5232
258	1821	5211
259	1824	5191
260	1826	5170
261	1828	5149
262	1837	5149
263	1839	5129
264	1842	5109
265	1845	5092
266	1847	5071
267	1855	5067
268	1858	5050
269	1860	5031
270	1863	5011
271	1865	4991
272	1871	4982
273	1873	4964
274	1875	4945
275	1877	4926
276	1880	4908
277	1887	4901
278	1890	4884
279	1893	4869
280	1896	4853
281	1900	4839
282	1903	4822
283	1906	4806
284	1912	4796
285	1916	4783
286	1918	4766
287	1922	4752
288	2000	4920
289	2002	4902
290	2004	4884
291	2013	4880
292	2015	4863
293	2017	4845
294	2024	4837
295	2026	4818
296	2027	4799
297	2029	4780
298	2030	4761
299	2032	4742
300	2034	4723
301	2035	4705
302	2095	4820
303	2097	4801
304	2099	4783
305	2101	4766
306	2107	4758
307	2110	4741
308	2112	4724
309	2114	4707
310	2117	4690
311	2122	4679
312	2123	4661
313	2125	4643
314	2127	4625
315	2147	4647
316	2159	4652
317	2161	4635
318	2163	4619
319	2165	4602
320	2171	4593
321	2174	4577
322	2176	4561
323	2178	4545
324	2181	4529
325	2187	4522
326	2205	4539
327	2208	4523
328	2212	4511
329	2219	4506
330	2222	4491
331	2225	4477
332	2228	4464
333	2242	4471
334	2249	4466
335	2253	4453
336	2256	4438
337	2304	4513
338	2306	4496
339	2308	4481
340	2310	4466
341	2315	4454
342	2317	4438
343	2319	4423
344	2321	4407
345	2327	4399
346	2329	4384
347	2332	4369
348	2334	4354
349	2367	4396
350	2371	4384
351	2376	4375
352	2380	4363
353	2382	4347
354	2384	4331
355	2391	4326
356	2393	4311
357	2395	4296
358	2397	4280
359	2399	4266
360	2402	4251
361	2446	4312
362	2450	4300
363	2463	4303
364	2471	4300
365	2475	4287
366	2477	4272
367	2479	4258
368	2487	4253
369	2490	4240
370	2492	4225
371	2494	4211
372	2527	4247
373	2529	4234
374	2539	4232
375	2542	4218
376	2552	4218
377	2555	4205
378	2558	4191
379	2561	4178
380	2569	4174
381	2571	4159
382	2573	4146
383	2620	4203
384	2622	4189
385	2624	4175
386	2628	4164
387	2635	4156
388	2637	4142
389	2639	4128
390	2657	4138
391	2724	4225
392	2726	4211
393	2728	4196
394	2730	4182
395	2732	4167
396	2734	4153
397	2739	4144
398	2742	4130
399	2744	4116
400	2791	4170
401	2793	4155
402	2795	4141
403	2797	4126
404	2799	4112
405	2804	4102
406	2806	4089
407	2808	4075
408	2810	4060
409	2812	4046
410	2814	4033
411	2821	4026
412	2837	4033
413	2839	4019
414	2841	4005
415	2843	3991
416	2846	3979
417	2853	3972
418	2855	3959
419	2856	3945
420	2858	3931
421	2861	3919
422	2866	3909
423	2869	3897
424	2871	3884
